Date,County,Cases,Deaths,Month,Year
2020-03-01,Adams,0.0,0.0,3,2020
2020-03-02,Adams,0.0,0.0,3,2020
2020-03-03,Adams,0.0,0.0,3,2020
2020-03-04,Adams,0.0,0.0,3,2020
2020-03-05,Adams,1.0,0.0,3,2020
2020-03-06,Adams,0.0,0.0,3,2020
2020-03-07,Adams,0.0,0.0,3,2020
2020-03-08,Adams,0.0,0.0,3,2020
2020-03-09,Adams,0.0,0.0,3,2020
2020-03-10,Adams,0.0,0.0,3,2020
2020-03-11,Adams,8.0,0.0,3,2020
2020-03-12,Adams,-7.0,0.0,3,2020
2020-03-13,Adams,1.0,0.0,3,2020
2020-03-14,Adams,3.0,0.0,3,2020
2020-03-15,Adams,0.0,0.0,3,2020
2020-03-16,Adams,2.0,0.0,3,2020
2020-03-17,Adams,2.0,0.0,3,2020
2020-03-18,Adams,0.0,0.0,3,2020
2020-03-19,Adams,0.0,0.0,3,2020
2020-03-20,Adams,2.0,0.0,3,2020
2020-03-21,Adams,2.0,0.0,3,2020
2020-03-22,Adams,4.0,0.0,3,2020
2020-03-23,Adams,7.0,0.0,3,2020
2020-03-24,Adams,2.0,0.0,3,2020
2020-03-25,Adams,11.0,0.0,3,2020
2020-03-26,Adams,12.0,0.0,3,2020
2020-03-27,Adams,21.0,0.0,3,2020
2020-03-28,Adams,24.0,0.0,3,2020
2020-03-29,Adams,15.0,0.0,3,2020
2020-03-30,Adams,43.0,0.0,3,2020
2020-03-31,Adams,32.0,2.0,3,2020
2020-04-01,Adams,29.0,4.0,4,2020
2020-04-02,Adams,46.0,1.0,4,2020
2020-04-03,Adams,34.0,2.0,4,2020
2020-04-04,Adams,26.0,0.0,4,2020
2020-04-05,Adams,34.0,1.0,4,2020
2020-04-06,Adams,13.0,2.0,4,2020
2020-04-07,Adams,21.0,2.0,4,2020
2020-04-08,Adams,29.0,0.0,4,2020
2020-04-09,Adams,58.0,2.0,4,2020
2020-04-10,Adams,68.0,7.0,4,2020
2020-04-11,Adams,50.0,2.0,4,2020
2020-04-12,Adams,54.0,1.0,4,2020
2020-04-13,Adams,46.0,0.0,4,2020
2020-04-14,Adams,33.0,1.0,4,2020
2020-04-15,Adams,32.0,1.0,4,2020
2020-04-16,Adams,47.0,1.0,4,2020
2020-04-17,Adams,55.0,2.0,4,2020
2020-04-18,Adams,34.0,2.0,4,2020
2020-04-19,Adams,21.0,2.0,4,2020
2020-04-20,Adams,53.0,2.0,4,2020
2020-04-21,Adams,28.0,9.0,4,2020
2020-04-22,Adams,37.0,0.0,4,2020
2020-04-23,Adams,49.0,0.0,4,2020
2020-04-24,Adams,170.0,11.0,4,2020
2020-04-25,Adams,50.0,0.0,4,2020
2020-04-26,Adams,46.0,1.0,4,2020
